Cement Type,Water-to-Cement Ratio,Aggregate Type,Compressive Strength (MPa)
High-Early-Strength Cement,0.45,Crushed Granite,48
Low Heat Cement,0.5,Crushed Concrete,25
Ordinary Portland Cement (OPC),0.41,Steel Slag,45
Air Entraining Cement,0.54,Steel Slag,30
Composite Cement,0.51,Pumice,51
Expansive Cement,0.39,Crushed Limestone,50
Rapid Hardening Cement,0.43,Crushed Granite,22
Ordinary Portland Cement (OPC),0.51,Expanded Clay,23
Masonry Cement,0.52,Crushed Concrete,23
Low Heat Cement,0.55,Crushed Stone,32
Masonry Cement,0.46,Expanded Clay,20
Sulphate Resistant Cement,0.43,Expanded Polystyrene Beads (EPS),53
Composite Cement,0.55,Pumice,51
Low Heat Cement,0.58,Expanded Shale,59
Quick Setting Cement,0.55,Recycled Aggregates,32
Oil Well Cement,0.56,Pumice,34
Super Sulphated Cement,0.42,Expanded Shale,39
High-Early-Strength Cement,0.37,Crushed Concrete,51
Masonry Cement,0.5,Recycled Aggregates,60
Oil Well Cement,0.55,Scoria,58
Air Entraining Cement,0.52,Gravel,50
Expansive Cement,0.58,Expanded Shale,25
Hydrophobic Cement,0.53,Sand,27
Sulphate Resistant Cement,0.39,Scoria,48
Colored Cement,0.54,Recycled Aggregates,35
Sulphate Resistant Cement,0.39,Gravel,38
Rapid Hardening Cement,0.38,Scoria,25
Quick Setting Cement,0.56,Expanded Clay,33
Quick Setting Cement,0.45,Scoria,43
Oil Well Cement,0.6,Expanded Shale,60
Pozzolanic Cement,0.49,Diatomaceous Earth,30
Oil Well Cement,0.45,Expanded Clay,57
Oil Well Cement,0.6,Steel Slag,42
Air Entraining Cement,0.35,Crushed Concrete,34
High-Early-Strength Cement,0.53,Expanded Polystyrene Beads (EPS),42
High-Early-Strength Cement,0.37,Crushed Stone,26
Expansive Cement,0.39,Crushed Limestone,50
Portland Pozzolana Cement (PPC),0.38,Crushed Concrete,52
Composite Cement,0.35,Expanded Shale,33
Sulphate Resistant Cement,0.42,Diatomaceous Earth,20
Oil Well Cement,0.58,Crushed Concrete,51
Sulphate Resistant Cement,0.53,Diatomaceous Earth,60
Pozzolanic Cement,0.44,Crushed Stone,33
Colored Cement,0.52,Pumice,37
Masonry Cement,0.57,Crushed Granite,29
Composite Cement,0.45,Expanded Shale,48
Oil Well Cement,0.39,Crushed Concrete,30
High-Early-Strength Cement,0.39,Crushed Granite,26
Air Entraining Cement,0.59,Diatomaceous Earth,54
Portland Pozzolana Cement (PPC),0.56,Crushed Stone,24
Blast Furnace Slag Cement,0.52,Expanded Clay,28
Low Heat Cement,0.53,Crushed Limestone,59
Low Heat Cement,0.57,Diatomaceous Earth,33
Rapid Hardening Cement,0.51,Expanded Polystyrene Beads (EPS),28
Super Sulphated Cement,0.52,Crushed Granite,26
Rapid Hardening Cement,0.5,Expanded Clay,29
High-Early-Strength Cement,0.48,Crushed Stone,60
High-Early-Strength Cement,0.48,Expanded Clay,45
Composite Cement,0.47,Crushed Limestone,26
Masonry Cement,0.48,Scoria,60
Ordinary Portland Cement (OPC),0.47,Crushed Granite,20
Oil Well Cement,0.57,Scoria,40
High-Early-Strength Cement,0.56,Steel Slag,27
Expansive Cement,0.58,Crushed Stone,50
Pozzolanic Cement,0.46,Steel Slag,42
Masonry Cement,0.52,Expanded Polystyrene Beads (EPS),46
Air Entraining Cement,0.49,Expanded Shale,44
Expansive Cement,0.59,Steel Slag,45
Oil Well Cement,0.46,Crushed Concrete,58
High-Early-Strength Cement,0.41,Crushed Limestone,36
Composite Cement,0.46,Expanded Clay,22
Pozzolanic Cement,0.48,Crushed Limestone,42
Low Heat Cement,0.48,Diatomaceous Earth,46
Masonry Cement,0.42,Crushed Limestone,27
Air Entraining Cement,0.52,Pumice,39
Air Entraining Cement,0.35,Scoria,55
High-Early-Strength Cement,0.57,Sand,51
Composite Cement,0.52,Expanded Clay,21
Pozzolanic Cement,0.54,Recycled Aggregates,49
Colored Cement,0.4,Diatomaceous Earth,57
Blast Furnace Slag Cement,0.46,Steel Slag,30
High Alumina Cement,0.52,Recycled Aggregates,41
Quick Setting Cement,0.5,Crushed Concrete,51
Super Sulphated Cement,0.58,Expanded Polystyrene Beads (EPS),30
Hydrophobic Cement,0.44,Crushed Limestone,33
High-Early-Strength Cement,0.37,Pumice,59
Colored Cement,0.53,Expanded Clay,26
Colored Cement,0.5,Crushed Stone,35
Super Sulphated Cement,0.49,Gravel,34
Low Heat Cement,0.42,Crushed Limestone,31
Super Sulphated Cement,0.46,Crushed Stone,26
High-Early-Strength Cement,0.36,Crushed Limestone,26
Masonry Cement,0.55,Sand,39
Composite Cement,0.55,Expanded Polystyrene Beads (EPS),29
High-Early-Strength Cement,0.44,Scoria,33
Masonry Cement,0.56,Crushed Limestone,24
Low Heat Cement,0.57,Expanded Shale,31
Ordinary Portland Cement (OPC),0.5,Steel Slag,37
